word,meaning,phonetic,example,example_cn
we'll = we will,我们将,,We'll help you with the work.,我们会帮你做这项工作。
wear,戴,/weə/,She wears a red dress today.,她今天穿了一条红裙子。
weather,天气,/'weðə/,The weather is nice today.,今天天气很好。
weather report,天气预报,/ri'pɔ:t/,I watch the weather report every morning.,我每天早上看天气预报。
Wednesday,星期三,/'wenzdi/,We have a team meeting every Wednesday afternoon.,我们每周三下午都有团队会议。
Wednesday(Wed.),星期三,/'wenzdei/,The store is closed on Wednesday.,这家商店星期三关门。
week,一星期, 周,There are seven days in a week.,一周有七天。,
weekend,周末,/'wiːk'end/,What do you do on the weekend?,你周末做什么？
welcome,欢迎,/'welkəm/,Welcome to our school!,欢迎来到我们学校！
well,健康;身体好,/ wel/,I hope you get well soon.,希望你早日康复。
well—better,更好的,/ wel/,I feel better today.,我今天感觉好多了。
went,fishing 去钓鱼,,We went to the zoo yesterday.,我们昨天去了动物园。
went camping,去野营,,We went camping last summer.,去年夏天我们去野营了。
went fishing,去钓鱼,,My dad and I went fishing on Sunday.,星期天我和爸爸去钓鱼了。
west,西,/west/,The sun sets in the west.,太阳从西边落下。
what,什么,/wɔt/,What is your name?,你叫什么名字？
what .for,为什么,/wɔt/,What is this tool for?,这个工具是用来做什么的？
what about,怎么样?,/wɔt'əbaut/,What about having lunch together?,一起吃午饭怎么样？
when,什么时候,/wen/,When is your birthday?,你的生日是什么时候？
where,在哪里；到哪里,/hwɛə/,Where do you live?,你住在哪里？
which,哪一个,/witʃ/,Which color do you like?,你喜欢哪个颜色？
white,白色的,/hwait/,Snow is white.,雪是白色的。
who,谁,/hu:/,Who is that girl?,那个女孩是谁？
who is,是谁,/hu:/,Who is your English teacher?,谁是你们的英语老师？
whose,谁的,/huːz/,Whose book is this?,这是谁的书？
why,为什么,/wai/,Why are you late?,你为什么迟到了？
will,将要,/wɪl/,I will call you later.,我晚点给你打电话。
win,（过去式won [wʌn]）赢,/win/,I hope our team will win.,我希望我们队能赢。
wind,风,/wind/,The wind is blowing hard.,风刮得很大。
window,窗户,/'wɪndəʊ/,Please open the window.,请打开窗户。
windy,多风的,/'wɪndi/,It is very windy outside.,外面风很大。
winter,冬天,/'wintə/,Winter is the coldest season.,冬天是最冷的季节。
with,同……；和……,/wið/,I go to school with my friend.,我和朋友一起去上学。
woke,(wake的过去式) 醒,,I woke up at six this morning.,我今天早上六点醒了。
woman,女人,/'wʊmən/,That woman is my mother.,那个女人是我妈妈。
wonderful,极好的；了不起的,/'wʌndəfəl/,What a wonderful day!,多么美好的一天！
woods,树林,/wʊdz/,We walked through the woods.,我们穿过了树林。
word book,单词书,,I use a word book to learn English.,我用单词书学英语。
work,工作,/wə:k/,My father goes to work by bus.,我爸爸乘公交车去上班。
work.,工作,/wə:k/,I work in a hospital.,我在一家医院工作。
worker,工人,/ˈwɜːkə/,Your father is a hard worker.,你父亲是个勤劳的工人。
world,世界,/wɜːld/,I want to travel around the world.,我想环游世界。
worried,担心的；发愁的,/ˈwʌrid/,She is worried about the exam.,她很担心考试。
worry,烦恼；忧虑,/'wʌri/,"Don't worry, everything will be fine.",别担心，一切都会好的。
would Like,就是want,,"I would like a cup of coffee, please.",我想要一杯咖啡。
wow,哇；呀,/waʊ/,"Wow, that is amazing!",哇，太棒了！
Write,写,/rait/,Please write your name on the first page.,请在第一页写下你的名字。
write a letter,写信,/rait'letə/,I want to write a letter to my friend.,我想给我朋友写一封信。
write a report,写报告,/raitri'pɔ:t/,The student needs to write a report.,那个学生需要写一份报告。
write an e-mail,写电子邮件,/raitænmeil/,I will write an e-mail to my teacher.,我会给我的老师写一封电子邮件。
Writer,作家,/'raitə/,The writer spent five years finishing her first novel.,那位作家花了五年时间完成她的第一部小说。
wrong,错误的,/rɒŋ/,Your answer is wrong; please try again.,你的答案是错的，请再试一次。
yeah,是;行,/jεə/,"Yeah, I agree with you.",嗯，我同意你的看法。
year,年,,"This year, I want to learn English.",今年，我想学英语。
yellow,黄色的,/'jeləu/,The sun is yellow and bright.,太阳是黄色的，很明亮。
yesterday,昨天,/'jestədi/,"Yesterday, I went to the park.",昨天我去了公园。
yo-yo,溜溜球,/jəu/,The boy can make his yo-yo go up and down.,那个男孩能让他的溜溜球上下移动。
you,你；你们,/ju:/,You are my best friend.,你是我最好的朋友。
young,年轻的；岁数不大的,/jʌŋ/,She is young and full of energy.,她很年轻，充满活力。
younger,更年轻的,,My younger brother is ten years old.,我的弟弟十岁了。
young—younger,更年轻的,/jʌŋ/,He looks young—younger than his actual age.,他看起来很年轻——比他实际年龄更年轻。
your,你的；你们的,/jɔ:/,Please bring your book tomorrow.,明天请带上你的书。
yours,你的；你们的,/jʊəz/,"This pen is yours, not mine.",这支笔是你的，不是我的。
yum,味道很好,,"Yum, this cake tastes delicious!",嗯，这蛋糕真好吃！
yummy,好吃的,/'jʌmi/,The pizza is very yummy.,这披萨很好吃。
zoo,动物园,/zu:/,We saw a lion at the zoo.,我们在动物园看到了一头狮子。
